plot,survey_date,species,plot_area_m2,n_annotations,species_area_m2,percent_plot_cover,percent_of_coral_cover
Plot E,2025-09-08,Porites porites,480,49,0.057307,0.011938958333333333,0.8970908845566273
Plot E,2025-09-08,Pseudodiploria strigosa,480,8,0.06309000000000001,0.013143750000000003,0.9876186836979363
Plot E,2025-09-08,Siderastrea radians,480,196,0.14730700000000005,0.030688958333333342,2.3059620453240117
Plot E,2025-09-08,Siderastrea siderea,480,278,0.957156,0.1994075,14.983438719505177
Plot E,2025-09-08,Stephanocoenia intercepta,480,39,0.153748,0.032030833333333335,2.4067902580629306
Plot E,2025-09-08,Unidentified coral,480,111,0.03375400000000001,0.007032083333333336,0.5283893017838033
Plot E,2025-10-14,Acropora cervicornis,480,9,0.04435,0.009239583333333334,0.6902189822826155
Plot E,2025-10-14,Acropora palmata,480,57,0.21464000000000003,0.04471666666666667,3.340441992269235
Plot E,2025-10-14,Agaricia agaricites,480,2,0.001291,2.6895833333333334e-4,0.020091831028790447
Plot E,2025-10-14,Agaricia humilis,480,8,0.007844,0.0016341666666666666,0.1220761600231079
Plot E,2025-10-14,Agaricia sp.,480,17,0.006799,0.0014164583333333334,0.10581282661870355
Plot E,2025-10-14,Colpophyllia natans,480,1,7.32e-4,1.525e-4,0.011392114882319605
Plot E,2025-10-14,Dendrogyra cylindrus,480,2,0.001984,4.1333333333333337e-4,0.030876988970658603
Plot E,2025-10-14,Diploria labyrinthiformis,480,8,0.022543,0.004696458333333334,0.35083667457941375
Plot E,2025-10-14,Eusmilia fastigiata,480,16,0.022562999999999996,0.004700624999999999,0.35114793454887594
Plot E,2025-10-14,Favia fragum,480,89,0.023104,0.0048133333333333335,0.35956751672283077
Plot E,2025-10-14,Madracis decactis,480,137,0.1968909999999999,0.041018958333333314,3.0642143323699287
Plot E,2025-10-14,Madracis sp.,480,1,0.001433,2.985416666666667e-4,0.02230177681197267
Plot E,2025-10-14,Manicina areolata,480,1,0.002569,5.352083333333334e-4,0.03998134307743042
Plot E,2025-10-14,Meandrina meandrites,480,1,0.001637,3.410416666666667e-4,0.025476628500487968
Plot E,2025-10-14,Montastrea cavernosa,480,86,0.5948859999999998,0.12393458333333328,9.258209909677019
Plot E,2025-10-14,Orbicella annularis,480,320,0.3401560000000002,0.07086583333333338,5.2938473086206415
Plot E,2025-10-14,Orbicella faveolata,480,125,0.591291,0.12318562500000001,9.202260930166176
Plot E,2025-10-14,Orbicella franksi,480,206,1.4104099999999997,0.2938354166666666,21.950208676465014
Plot E,2025-10-14,Orbicella sp.,480,89,0.20624499999999998,0.042967708333333327,3.2097906200874404
Plot E,2025-10-14,Porites astreoides,480,840,1.294235000000002,0.2696322916666671,20.142177328851
Plot E,2025-10-14,Porites porites,480,56,0.064579,0.013453958333333332,1.0050428783952428
Plot E,2025-10-14,Pseudodiploria strigosa,480,8,0.070008,0.014584999999999999,1.0895343971057798
Plot E,2025-10-14,Siderastrea radians,480,212,0.1574619999999999,0.03280458333333332,2.450580865573509
Plot E,2025-10-14,Siderastrea siderea,480,280,0.9753360000000002,0.20319500000000004,15.179152678773328
Plot E,2025-10-14,Stephanocoenia intercepta,480,36,0.13384700000000005,0.02788479166666668,2.083060656630919
Plot E,2025-10-14,Unidentified coral,480,96,0.03866200000000001,0.008054583333333335,0.6016966469675419
Plot E,2025-11-06,Acropora cervicornis,480,9,0.045222,0.009421249999999999,0.7217097348624008
Plot E,2025-11-06,Acropora palmata,480,56,0.21618300000000007,0.04503812500000002,3.450121082918899
Plot E,2025-11-06,Agaricia agaricites,480,2,0.001291,2.6895833333333334e-4,0.02060340691936136
Plot E,2025-11-06,Agaricia humilis,480,8,0.008214,0.0017112500000000003,0.13108937601520854
Plot E,2025-11-06,Agaricia sp.,480,17,0.0058990000000000015,0.0012289583333333334,0.09414368506375885
Plot E,2025-11-06,Colpophyllia natans,480,1,5.98e-4,1.2458333333333334e-4,0.009543638526551582
Plot E,2025-11-06,Dendrogyra cylindrus,480,2,0.001984,4.1333333333333337e-4,0.03166317531217114
Plot E,2025-11-06,Diploria labyrinthiformis,480,8,0.024445,0.005092708333333334,0.3901241534808586
Plot E,2025-11-06,Eusmilia fastigiata,480,17,0.02441,0.005085416666666667,0.3895655793196056
Plot E,2025-11-06,Favia fragum,480,89,0.022600000000000002,0.0047083333333333335,0.3606793155519495
Plot E,2025-11-06,Madracis decactis,480,138,0.19350899999999996,0.04031437499999999,3.088260781997441
Plot E,2025-11-06,Madracis sp.,480,1,0.002271,4.7312499999999997e-4,0.03624348343444589
Plot E,2025-11-06,Manicina areolata,480,1,0.002202,4.5875e-4,0.035142294373689945
Plot E,2025-11-06,Meandrina meandrites,480,1,0.0016120000000000002,3.3583333333333333e-4,0.02572632994113905
Plot E,2025-11-06,Montastrea cavernosa,480,86,0.5682449999999999,0.11838437499999997,9.068770693177763
Plot E,2025-11-06,Orbicella annularis,480,315,0.32900500000000005,0.06854270833333335,5.250676912087131
Plot E,2025-11-06,Orbicella faveolata,480,127,0.564962,0.11770041666666665,9.016376436852232
Plot E,2025-11-06,Orbicella franksi,480,206,1.3762679999999992,0.2867224999999998,21.964221250267702
Plot E,2025-11-06,Orbicella sp.,480,90,0.19510100000000002,0.04064604166666667,3.113667926703579
Plot E,2025-11-06,Porites astreoides,480,839,1.243147000000001,0.2589889583333335,19.839708366834497
Plot E,2025-11-06,Porites porites,480,56,0.06469799999999999,0.01347875,1.0325323167070806
Plot E,2025-11-06,Pseudodiploria strigosa,480,8,0.06825400000000001,0.014219583333333336,1.0892834514903875
Plot E,2025-11-06,Siderastrea radians,480,209,0.14907900000000007,0.031058125000000013,2.3791907824411105
Plot E,2025-11-06,Siderastrea siderea,480,282,0.9620910000000006,0.20043562500000014,15.354262096402248
Plot E,2025-11-06,Stephanocoenia intercepta,480,37,0.142804,0.02975083333333333,2.2790464149593177
Plot E,2025-11-06,Unidentified coral,480,101,0.051859999999999996,0.010804166666666667,0.8276473143594734
Plot E,2025-12-04,Acropora cervicornis,480,10,0.041750999999999996,0.008698125,0.6685015995619217
Plot E,2025-12-04,Acropora palmata,480,45,0.23062700000000005,0.04804729166666668,3.692714387731249
Plot E,2025-12-04,Agaricia agaricites,480,1,3.1099999999999997e-4,6.479166666666665e-5,0.00497961719392967
Plot E,2025-12-04,Agaricia humilis,480,7,0.0071719999999999996,0.0014941666666666666,0.11483541644650673
Plot E,2025-12-04,Agaricia sp.,480,17,0.006504000000000001,0.001355,0.10413964703960958
Plot E,2025-12-04,Colpophyllia natans,480,1,5.99e-4,1.2479166666666666e-4,0.009590966878340426
Plot E,2025-12-04,Dendrogyra cylindrus,480,2,0.001984,4.1333333333333337e-4,0.03176707560371854
Plot E,2025-12-04,Diploria labyrinthiformis,480,8,0.024504,0.005105,0.3923490023152818
Plot E,2025-12-04,Eusmilia fastigiata,480,18,0.02556,0.005325,0.4092572844914546
Plot E,2025-12-04,Favia fragum,480,84,0.021803999999999994,0.004542499999999999,0.34911759902393086
Plot E,2025-12-04,Madracis decactis,480,130,0.200416,0.04175333333333334,3.2089870081627296
Plot E,2025-12-04,Madracis sp.,480,1,0.003157,6.577083333333333e-4,0.050548718589183174
Plot E,2025-12-04,Manicina areolata,480,1,0.002026,4.2208333333333334e-4,0.03243956409936177
Plot E,2025-12-04,Meandrina meandrites,480,1,0.001038,2.1625e-4,0.0166200728208971
Plot E,2025-12-04,Montastrea cavernosa,480,84,0.5762670000000001,0.12005562500000001,9.226974474258101
Plot E,2025-12-04,Orbicella annularis,480,294,0.328989,0.068539375,5.267650421266007
Plot E,2025-12-04,Orbicella faveolata,480,111,0.5718880000000003,0.11914333333333339,9.156859542771873
Plot E,2025-12-04,Orbicella franksi,480,188,1.372407,0.285918125,21.974474258101083
Plot E,2025-12-04,Orbicella sp.,480,87,0.19254299999999996,0.04011312499999999,3.0829274384913194
Plot E,2025-12-04,Porites astreoides,480,808,1.2450410000000012,0.25938354166666694,19.935136883432143
Plot E,2025-12-04,Porites porites,480,49,0.06730699999999999,0.014022291666666664,1.0776948375299815
Plot E,2025-12-04,Pseudodiploria strigosa,480,9,0.069602,0.014500416666666665,1.1144415303276298
Plot E,2025-12-04,Siderastrea radians,480,191,0.14249,0.02968541666666667,2.2814972796239186
Plot E,2025-12-04,Siderastrea siderea,480,265,0.9242879999999999,0.19255999999999998,14.799358253835585
Plot E,2025-12-04,Stephanocoenia intercepta,480,36,0.142452,0.0296775,2.28088883765167
Plot E,2025-12-04,Unidentified coral,480,83,0.044732999999999995,0.009319374999999998,0.7162482827525913
