plot,plot_section,plot_section_label,source_file,month_start,month_end,genet,tag,genotype,species,action,area_start,area_end
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,1,NA,NA,Orbicella faveolata,n/s,16.645,104.1525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,1,NA,NA,Orbicella faveolata,n/s,13.5575,104.1525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,1,NA,NA,Orbicella faveolata,n/s,54.1675,104.1525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,1,NA,NA,Orbicella annularis,grow,4.84,5.1125
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,1,NA,NA,Orbicella annularis,shrink,5.15,4.7975
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,1,NA,NA,Orbicella faveolata,shrink,19.51,16.645
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,1,NA,NA,Orbicella faveolata,shrink,17.835,13.5575
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,1,NA,NA,Orbicella faveolata,shrink,57.47,54.1675
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,1,NA,NA,Orbicella annularis,grow,4.4875,5.15
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,1,NA,NA,Orbicella annularis,grow,3.9275,4.84
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,1,NA,NA,Orbicella faveolata,grow,16.0525,17.835
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,1,NA,NA,Orbicella faveolata,same,18.6825,19.51
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,1,NA,NA,Orbicella faveolata,same,55.6,57.47
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,2.9775,3.525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,0.9625,1.055
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,1.46,1.5825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,16.56,18.4425
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,3.01,3.3725
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,grow,1.835,2.0825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,same,0.42,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,36,NA,NA,Orbicella annularis,shrink,0.495,0.43
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251204_20260120.csv,December,January,36,NA,NA,Orbicella annularis,shrink,30.6275,27.4675
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260120_20260216.csv,January,February,36,NA,NA,Orbicella annularis,same,27.4675,27.785
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Empty,born,0,0.495
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,grow,1.2925,1.46
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,22.1025,2.9775
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,22.1025,0.9625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,22.1025,16.56
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,22.1025,3.01
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,22.1025,1.835
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,0.42,2.9775
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,0.42,0.9625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,0.42,16.56
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,0.42,3.01
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,0.42,1.835
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1425,2.9775
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1425,0.9625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1425,16.56
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1425,3.01
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1425,1.835
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1625,2.9775
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1625,0.9625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1625,16.56
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1625,3.01
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,n/s,1.1625,1.835
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,36,NA,NA,Orbicella annularis,shrink,0.5525,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,grow,0.4325,0.5525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,0.91,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,0.91,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.0375,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.0375,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.8125,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.8125,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,14.2125,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,14.2125,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,3.15,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,3.15,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.8425,22.1025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,n/s,1.8425,0.42
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,same,1.2775,1.2925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,same,1.1425,1.1425
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,36,NA,NA,Orbicella annularis,shrink,1.7175,1.1625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,0.825,0.91
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,0.8875,1.0375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,0.975,1.2775
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,1.4375,1.8125
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,0.3825,0.4325
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,2.535,3.15
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,0.8825,1.7175
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,grow,1.3475,1.8425
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,n/s,15.615,14.2125
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,36,NA,NA,Orbicella annularis,n/s,15.615,1.1425
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,36,NA,NA,Orbicella annularis,same,31.2575,30.6275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,36,NA,NA,Orbicella annularis,same,31.075,31.2575
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,3.525,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,1.055,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,1.5825,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,18.4425,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,0.43,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,0.42,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,3.3725,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,36,NA,NA,Orbicella annularis,n/s,2.0825,31.075
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260409_20260504.csv,April,May,7,NA,NA,Orbicella franksi,same,123.24,118.78
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,7,NA,NA,Orbicella faveolata,grow,6.1,6.525
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,7,NA,NA,Orbicella faveolata,n/s,25.2825,84.615
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,7,NA,NA,Orbicella faveolata,n/s,9.5825,84.615
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,7,NA,NA,Orbicella faveolata,n/s,35.7325,84.615
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250804_20250908.csv,August,September,7,NA,NA,Orbicella faveolata,n/s,6.99,84.615
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251204_20260120.csv,December,January,7,NA,NA,Orbicella faveolata,shrink,106.375,101.275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260216_20260325.csv,February,March,7,NA,NA,Orbicella franksi,grow,115.8275,122.455
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260120_20260216.csv,January,February,7,NA,NA,Orbicella faveolata,grow,101.275,115.8275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,grow,8.74,9.5825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,n/s,7.795,25.2825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,n/s,17.1925,25.2825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,same,5.9825,6.1
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,same,35.96,35.7325
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250711_20250804.csv,July,August,7,NA,NA,Orbicella faveolata,shrink,7.8675,6.99
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,grow,7.2175,7.795
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,grow,5.0625,5.9825
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,grow,6.9275,7.8675
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,n/s,6.8325,17.1925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,n/s,7.8025,35.96
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,n/s,7.9375,17.1925
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,n/s,24.035,35.96
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250609_20250711.csv,June,July,7,NA,NA,Orbicella faveolata,same,8.3275,8.74
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20260325_20260409.csv,March,April,7,NA,NA,Orbicella franksi,same,122.455,123.24
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,grow,6.4275,7.2175
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,grow,7.355,8.3275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,grow,4.5425,5.0625
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,grow,6.905,7.9375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,grow,5.9525,6.9275
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,n/s,14.8575,24.035
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,n/s,7.4775,24.035
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,same,6.5475,6.8325
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250507_20250609.csv,May,June,7,NA,NA,Orbicella faveolata,same,7.4325,7.8025
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,7,NA,NA,Orbicella faveolata,n/s,86.145,106.375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251106_20251204.csv,November,December,7,NA,NA,Orbicella faveolata,n/s,5.845,106.375
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,7,NA,NA,Orbicella faveolata,grow,4.6375,5.845
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20251014_20251106.csv,October,November,7,NA,NA,Orbicella faveolata,same,85.0675,86.145
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,7,NA,NA,Orbicella faveolata,same,84.615,85.0675
Plot E,0-0,Plot E 0-0,0-0_PlotE_Matches_20250908_20251014.csv,September,October,7,NA,NA,Orbicella faveolata,shrink,6.525,4.6375
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20260409_20260504.csv,April,May,114,NA,NA,Orbicella annularis,grow,6.3525,6.6925
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20260409_20260504.csv,April,May,114,NA,NA,Acropora palmata,grow,335.0625,351.8725
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,49.9375,49.9375
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,23.91,23.91
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,107.755,107.755
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,24.33,24.33
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,13.07,13.07
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20250804_20250908.csv,August,September,114,NA,NA,Acropora palmata,same,15.195,15.195
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Orbicella annularis,born,0,4.8775
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,grow,23.2,25.41
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,grow,105.5125,121.7275
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,grow,23.015,33.26
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,n/s,27.7325,34
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,n/s,2.3375,34
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20251204_20260120.csv,December,January,114,NA,NA,Acropora palmata,shrink,58.68,46.7425
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20260216_20260325.csv,February,March,114,NA,NA,Orbicella annularis,n/s,5.21,6.4175
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20260216_20260325.csv,February,March,114,NA,NA,Orbicella annularis,n/s,5.21,435.09
Plot E,0-1,Plot E 0-1,0-1_PlotE_Matches_20260216_20260325.csv,February,March,114,NA,NA,Acropora palmata,n/s,314.18,6.4175
