plot,plot_section,plot_section_label,interval_order,month_start,month_end,n_start,n_survived,n_died,n_born,percent_survival,percent_survival_low,percent_survival_high,interval_label
Plot E,0-0,Plot E 0-0,9,January,February,73,68,5,0,93.15068493150685,84.73529862225702,97.73878044970046,January to February
Plot E,0-0,Plot E 0-0,10,February,March,64,60,4,0,93.75,84.76365265773033,98.27099726189448,February to March
Plot E,0-0,Plot E 0-0,11,March,April,58,55,3,279,94.82758620689656,85.61953727246554,98.92035219157053,March to April
Plot E,0-0,Plot E 0-0,12,April,May,334,331,3,14,99.10179640718563,97.39764551369394,99.81438441004677,April to May
Plot E,0-1,Plot E 0-1,1,May,June,120,120,0,0,100,96.972702742258,100,May to June
Plot E,0-1,Plot E 0-1,2,June,July,120,112,8,0,93.33333333333333,87.28632517607872,97.07808156862036,June to July
Plot E,0-1,Plot E 0-1,3,July,August,112,108,4,1,96.42857142857143,91.10785264165705,99.0184836218724,July to August
Plot E,0-1,Plot E 0-1,4,August,September,109,107,2,0,98.1651376146789,93.52881443899183,99.77701206843327,August to September
Plot E,0-1,Plot E 0-1,5,September,October,97,97,0,0,100,96.26843630912639,100,September to October
Plot E,0-1,Plot E 0-1,6,October,November,97,97,0,0,100,96.26843630912639,100,October to November
Plot E,0-1,Plot E 0-1,7,November,December,97,95,2,0,97.9381443298969,92.74978500736088,99.74931702361827,November to December
Plot E,0-1,Plot E 0-1,8,December,January,95,93,2,2,97.89473684210526,92.60134525711725,99.74401820139384,December to January
Plot E,0-1,Plot E 0-1,9,January,February,95,93,2,0,97.89473684210526,92.60134525711725,99.74401820139384,January to February
Plot E,0-1,Plot E 0-1,10,February,March,90,77,13,1,85.55555555555556,76.56684376592942,92.07868375025639,February to March
Plot E,0-1,Plot E 0-1,11,March,April,78,70,8,165,89.74358974358974,80.78725425815965,95.4669050221243,March to April
Plot E,0-1,Plot E 0-1,12,April,May,235,228,7,1,97.02127659574468,93.95925859795743,98.7941805170265,April to May
Plot E,1-0,Plot E 1-0,1,May,June,167,138,29,0,82.63473053892216,76.02220414639437,88.05102579270991,May to June
Plot E,1-0,Plot E 1-0,2,June,July,133,122,11,0,91.72932330827068,85.68337343304773,95.79891855760685,June to July
Plot E,1-0,Plot E 1-0,3,July,August,122,119,3,0,97.54098360655738,92.98183101571344,99.48999226129985,July to August
Plot E,1-0,Plot E 1-0,4,August,September,117,108,9,1,92.3076923076923,85.89956133885661,96.4223022130482,August to September
Plot E,1-0,Plot E 1-0,5,September,October,110,109,1,0,99.0909090909091,95.03888106880152,99.97698645944497,September to October
Plot E,1-0,Plot E 1-0,6,October,November,109,109,0,2,100,96.67233352014915,100,October to November
Plot E,1-0,Plot E 1-0,7,November,December,111,105,6,0,94.5945945945946,88.60555122954585,97.99073406955344,November to December
Plot E,1-0,Plot E 1-0,8,December,January,105,105,0,0,100,96.54777858734944,100,December to January
Plot E,1-1,Plot E 1-1,1,May,June,58,52,6,0,89.65517241379311,78.83135422012025,96.10791680776357,May to June
Plot E,1-1,Plot E 1-1,2,June,July,52,51,1,0,98.07692307692308,89.74464553478822,99.9513237584508,June to July
Plot E,1-1,Plot E 1-1,3,July,August,51,50,1,2,98.03921568627452,89.55251036044828,99.95036955922623,July to August
Plot E,1-1,Plot E 1-1,4,August,September,52,52,0,0,100,93.15177912966804,100,August to September
Plot E,1-1,Plot E 1-1,5,September,October,52,51,1,0,98.07692307692308,89.74464553478822,99.9513237584508,September to October
Plot E,1-1,Plot E 1-1,6,October,November,51,51,0,2,100,93.02229692504613,100,October to November
Plot E,1-1,Plot E 1-1,7,November,December,53,53,0,0,100,93.27654536936988,100,November to December
Plot E,1-1,Plot E 1-1,8,December,January,53,53,0,0,100,93.27654536936988,100,December to January
Plot G,0-0,Plot G 0-0,1,November,April,0,0,0,21,NA,NA,NA,November to April
Plot G,0-0,Plot G 0-0,2,April,May,21,21,0,0,100,83.89023847809204,100,April to May
Plot G,0-0,Plot G 0-0,3,May,August,21,21,0,0,100,83.89023847809204,100,May to August
Plot G,0-1,Plot G 0-1,1,November,April,0,0,0,3,NA,NA,NA,November to April
Plot G,0-1,Plot G 0-1,2,April,May,3,3,0,0,100,29.240177382128667,100,April to May
Plot G,0-1,Plot G 0-1,3,May,August,3,3,0,0,100,29.240177382128667,100,May to August
Plot G,1-0,Plot G 1-0,1,November,April,0,0,0,21,NA,NA,NA,November to April
Plot G,1-0,Plot G 1-0,2,April,May,21,21,0,0,100,83.89023847809204,100,April to May
Plot G,1-0,Plot G 1-0,3,May,August,20,20,0,0,100,83.15665290169146,100,May to August
Plot H,0-0,Plot H 0-0,1,November,April,0,0,0,8,NA,NA,NA,November to April
Plot H,0-0,Plot H 0-0,2,April,May,8,8,0,0,100,63.05833524471808,100,April to May
Plot H,0-0,Plot H 0-0,3,May,August,8,8,0,0,100,63.05833524471808,100,May to August
Plot H,0-1,Plot H 0-1,1,November,April,0,0,0,3,NA,NA,NA,November to April
Plot H,0-1,Plot H 0-1,2,April,May,3,3,0,0,100,29.240177382128667,100,April to May
Plot H,0-1,Plot H 0-1,3,May,August,3,3,0,0,100,29.240177382128667,100,May to August
Plot H,1-0,Plot H 1-0,1,November,April,0,0,0,27,NA,NA,NA,November to April
Plot H,1-0,Plot H 1-0,2,April,May,30,30,0,0,100,88.42966917779722,100,April to May
Plot H,1-0,Plot H 1-0,3,May,August,31,29,2,0,93.54838709677419,78.57838428365977,99.20890165381454,May to August
