plot,plot_section,plot_section_label,interval_order,month_start,month_end,species,n_start,n_survived,n_died,percent_survival,percent_survival_low,percent_survival_high,interval_label
Plot B,1-0,Plot B 1-0,2,April,June,Porites porites,14,14,0,100,76.83642383498835,100,April to June
Plot B,1-0,Plot B 1-0,3,June,August,Orbicella annularis,7,7,0,100,59.038360277499656,100,June to August
Plot B,1-0,Plot B 1-0,3,June,August,Porites porites,14,14,0,100,76.83642383498835,100,June to August
Plot C,0-0,Plot C 0-0,1,November,April,Montastraea cavernosa,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,1,November,April,Orbicella faveolata,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,1,November,April,Orbicella franksi,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,1,November,April,Unidentified coral,0,0,0,NA,NA,NA,November to April
Plot C,0-0,Plot C 0-0,2,April,June,Montastraea cavernosa,80,80,0,100,95.49359649323077,100,April to June
Plot C,0-0,Plot C 0-0,2,April,June,Orbicella annularis,7,7,0,100,59.038360277499656,100,April to June
Plot C,0-0,Plot C 0-0,2,April,June,Orbicella faveolata,14,14,0,100,76.83642383498835,100,April to June
Plot C,0-0,Plot C 0-0,2,April,June,Orbicella franksi,36,36,0,100,90.26062440855081,100,April to June
Plot C,0-0,Plot C 0-0,2,April,June,Porites porites,148,147,1,99.32432432432432,96.29300825570272,99.9828948360836,April to June
Plot C,0-0,Plot C 0-0,2,April,June,Unidentified coral,1,0,1,0,0,97.5,April to June
Plot C,0-0,Plot C 0-0,3,June,August,Montastraea cavernosa,78,78,0,100,95.38075796719512,100,June to August
Plot C,0-0,Plot C 0-0,3,June,August,Orbicella annularis,5,5,0,100,47.81762498950186,100,June to August
Plot C,0-0,Plot C 0-0,3,June,August,Orbicella faveolata,15,15,0,100,78.19806390894661,100,June to August
Plot C,0-0,Plot C 0-0,3,June,August,Orbicella franksi,37,37,0,100,90.510941258501,100,June to August
Plot C,0-0,Plot C 0-0,3,June,August,Porites porites,147,124,23,84.35374149659864,77.45359177458722,89.81557277606458,June to August
Plot C,1-0,Plot C 1-0,1,November,April,Montastraea cavernosa,0,0,0,NA,NA,NA,November to April
Plot C,1-0,Plot C 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot C,1-0,Plot C 1-0,1,November,April,Orbicella franksi,0,0,0,NA,NA,NA,November to April
Plot C,1-0,Plot C 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot C,1-0,Plot C 1-0,2,April,June,Montastraea cavernosa,88,87,1,98.86363636363636,93.83062460406134,99.97123390188985,April to June
Plot C,1-0,Plot C 1-0,2,April,June,Orbicella annularis,36,35,1,97.22222222222223,85.47107352531468,99.92969747940951,April to June
Plot C,1-0,Plot C 1-0,2,April,June,Orbicella franksi,79,78,1,98.73417721518987,93.14800905132279,99.96795727656958,April to June
Plot C,1-0,Plot C 1-0,2,April,June,Porites porites,31,30,1,96.7741935483871,83.29788837697723,99.91836299281533,April to June
Plot C,1-0,Plot C 1-0,3,June,August,Montastraea cavernosa,88,87,1,98.86363636363636,93.83062460406134,99.97123390188985,June to August
Plot C,1-0,Plot C 1-0,3,June,August,Orbicella annularis,36,33,3,91.66666666666667,77.53102394430269,98.24735040760653,June to August
Plot C,1-0,Plot C 1-0,3,June,August,Orbicella franksi,84,83,1,98.80952380952381,93.54480315679598,99.96986429411598,June to August
Plot C,1-0,Plot C 1-0,3,June,August,Porites porites,36,36,0,100,90.26062440855081,100,June to August
Plot D,0-0,Plot D 0-0,1,November,April,Montastraea cavernosa,0,0,0,NA,NA,NA,November to April
Plot D,0-0,Plot D 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot D,0-0,Plot D 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot D,0-0,Plot D 0-0,1,November,April,Unidentified coral,0,0,0,NA,NA,NA,November to April
Plot D,0-0,Plot D 0-0,2,April,June,Montastraea cavernosa,47,47,0,100,92.45142663089413,100,April to June
Plot D,0-0,Plot D 0-0,2,April,June,Orbicella annularis,12,12,0,100,73.53515306029489,100,April to June
Plot D,0-0,Plot D 0-0,2,April,June,Porites porites,169,136,33,80.4733727810651,73.6850241730146,86.16112841524584,April to June
Plot D,0-0,Plot D 0-0,2,April,June,Unidentified coral,2,2,0,100,15.811388300841905,100,April to June
Plot D,0-1,Plot D 0-1,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot D,0-1,Plot D 0-1,2,April,June,Orbicella annularis,1,1,0,100,2.500000000000002,100,April to June
Plot D,1-0,Plot D 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot D,1-0,Plot D 1-0,1,November,April,Orbicella franksi,0,0,0,NA,NA,NA,November to April
Plot D,1-0,Plot D 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot D,1-0,Plot D 1-0,2,April,June,Orbicella annularis,52,52,0,100,93.15177912966804,100,April to June
Plot D,1-0,Plot D 1-0,2,April,June,Orbicella franksi,11,11,0,100,71.50858470818456,100,April to June
Plot D,1-0,Plot D 1-0,2,April,June,Porites porites,21,21,0,100,83.89023847809204,100,April to June
Plot E,0-0,Plot E 0-0,1,May,June,Acropora palmata,2,2,0,100,15.811388300841905,100,May to June
Plot E,0-0,Plot E 0-0,1,May,June,Orbicella annularis,64,61,3,95.3125,86.9064262758594,99.02269250455434,May to June
Plot E,0-0,Plot E 0-0,1,May,June,Orbicella faveolata,30,29,1,96.66666666666667,82.78305443665873,99.91564290733696,May to June
Plot E,0-0,Plot E 0-0,1,May,June,Orbicella franksi,2,2,0,100,15.811388300841905,100,May to June
Plot E,0-0,Plot E 0-0,2,June,July,Acropora palmata,7,7,0,100,59.038360277499656,100,June to July
Plot E,0-0,Plot E 0-0,2,June,July,Orbicella annularis,61,61,0,100,94.13187760677074,100,June to July
Plot E,0-0,Plot E 0-0,2,June,July,Orbicella faveolata,29,24,5,82.75862068965517,64.225244558535593,94.15439170273656,June to July
Plot E,0-0,Plot E 0-0,2,June,July,Orbicella franksi,2,2,0,100,15.811388300841905,100,June to July
Plot E,0-0,Plot E 0-0,3,July,August,Acropora palmata,7,6,1,85.71428571428571,42.127680295680484,99.63897031380993,July to August
Plot E,0-0,Plot E 0-0,3,July,August,Empty,1,1,0,100,2.500000000000002,100,July to August
Plot E,0-0,Plot E 0-0,3,July,August,Orbicella annularis,58,57,1,98.27586206896552,90.76389478576247,99.95635813275813,July to August
Plot E,0-0,Plot E 0-0,3,July,August,Orbicella faveolata,25,25,0,100,86.28148284692875,100,July to August
Plot E,0-0,Plot E 0-0,3,July,August,Orbicella franksi,2,2,0,100,15.811388300841905,100,July to August
Plot E,0-0,Plot E 0-0,4,August,September,Acropora palmata,6,6,0,100,54.074187356009965,100,August to September
Plot E,0-0,Plot E 0-0,4,August,September,Orbicella annularis,59,57,2,96.61016949152543,88.28515361116068,99.58680670276348,August to September
Plot E,0-0,Plot E 0-0,4,August,September,Orbicella faveolata,24,23,1,95.83333333333333,78.87983165430269,99.89456475545303,August to September
Plot E,0-0,Plot E 0-0,4,August,September,Orbicella franksi,2,2,0,100,15.811388300841905,100,August to September
Plot E,0-0,Plot E 0-0,5,September,October,Acropora palmata,6,6,0,100,54.074187356009965,100,September to October
Plot E,0-0,Plot E 0-0,5,September,October,Orbicella annularis,56,56,0,100,93.62499033376378,100,September to October
Plot E,0-0,Plot E 0-0,5,September,October,Orbicella faveolata,23,23,0,100,85.18148710847757,100,September to October
Plot E,0-0,Plot E 0-0,5,September,October,Orbicella franksi,2,2,0,100,15.811388300841905,100,September to October
Plot E,0-0,Plot E 0-0,6,October,November,Acropora palmata,6,6,0,100,54.074187356009965,100,October to November
Plot E,0-0,Plot E 0-0,6,October,November,Orbicella annularis,56,54,2,96.42857142857143,87.68681925420042,99.56451872589473,October to November
Plot E,0-0,Plot E 0-0,6,October,November,Orbicella faveolata,23,23,0,100,85.18148710847757,100,October to November
Plot E,0-0,Plot E 0-0,6,October,November,Orbicella franksi,2,2,0,100,15.811388300841905,100,October to November
Plot E,0-0,Plot E 0-0,7,November,December,Acropora palmata,6,6,0,100,54.074187356009965,100,November to December
Plot E,0-0,Plot E 0-0,7,November,December,Orbicella annularis,55,48,7,87.27272727272727,75.51972796779751,94.72648170362706,November to December
Plot E,0-0,Plot E 0-0,7,November,December,Orbicella faveolata,23,22,1,95.65217391304348,78.05133925465195,99.88998313695585,November to December
Plot E,0-0,Plot E 0-0,7,November,December,Orbicella franksi,2,2,0,100,15.811388300841905,100,November to December
Plot E,0-0,Plot E 0-0,8,December,January,Acropora palmata,6,6,0,100,54.074187356009965,100,December to January
Plot E,0-0,Plot E 0-0,8,December,January,Orbicella annularis,45,42,3,93.33333333333333,81.73155434217733,98.60349029556295,December to January
Plot E,0-0,Plot E 0-0,8,December,January,Orbicella faveolata,23,23,0,100,85.18148710847757,100,December to January
Plot E,0-0,Plot E 0-0,8,December,January,Orbicella franksi,2,2,0,100,15.811388300841905,100,December to January
Plot E,0-0,Plot E 0-0,9,January,February,Acropora palmata,6,4,2,66.66666666666667,22.27780955035122,95.67281317072582,January to February
Plot E,0-0,Plot E 0-0,9,January,February,Orbicella annularis,43,40,3,93.02325581395348,80.93927681142077,98.53745030048677,January to February
Plot E,0-0,Plot E 0-0,9,January,February,Orbicella faveolata,22,22,0,100,84.56274871844255,100,January to February
Plot E,0-0,Plot E 0-0,9,January,February,Orbicella franksi,2,2,0,100,15.811388300841905,100,January to February
Plot E,0-0,Plot E 0-0,10,February,March,Acropora palmata,4,3,1,75,19.41204496832434,99.36905367902902,February to March
Plot E,0-0,Plot E 0-0,10,February,March,Orbicella annularis,36,33,3,91.66666666666667,77.53102394430269,98.24735040760653,February to March
Plot E,0-0,Plot E 0-0,10,February,March,Orbicella faveolata,21,21,0,100,83.89023847809204,100,February to March
Plot E,0-0,Plot E 0-0,10,February,March,Orbicella franksi,3,3,0,100,29.240177382128667,100,February to March
Plot E,0-0,Plot E 0-0,11,March,April,Acropora palmata,3,0,3,0,0,70.75982261787132,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Diploria labyrinthiformis,0,0,0,NA,NA,NA,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Montastraea cavernosa,0,0,0,NA,NA,NA,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Orbicella annularis,31,31,0,100,88.78112530776299,100,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Orbicella faveolata,21,21,0,100,83.89023847809204,100,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Orbicella franksi,3,3,0,100,29.240177382128667,100,March to April
Plot E,0-0,Plot E 0-0,11,March,April,Pseudodiploria strigosa,0,0,0,NA,NA,NA,March to April
Plot E,0-0,Plot E 0-0,12,April,May,Diploria labyrinthiformis,32,32,0,100,89.1118839320647,100,April to May
Plot E,0-0,Plot E 0-0,12,April,May,Montastraea cavernosa,40,40,0,100,91.19026971211977,100,April to May
Plot E,0-0,Plot E 0-0,12,April,May,Orbicella annularis,112,109,3,97.32142857142857,92.37137752742358,99.44417079349599,April to May
Plot E,0-0,Plot E 0-0,12,April,May,Orbicella faveolata,22,22,0,100,84.56274871844255,100,April to May
Plot E,0-0,Plot E 0-0,12,April,May,Orbicella franksi,53,53,0,100,93.27654536936988,100,April to May
Plot E,0-0,Plot E 0-0,12,April,May,Pseudodiploria strigosa,75,75,0,100,95.20049359448578,100,April to May
Plot E,0-1,Plot E 0-1,1,May,June,Acropora cervicornis,4,4,0,100,39.763536438352546,100,May to June
Plot E,0-1,Plot E 0-1,1,May,June,Acropora palmata,32,32,0,100,89.1118839320647,100,May to June
Plot E,0-1,Plot E 0-1,1,May,June,Orbicella annularis,81,81,0,100,95.54797375436782,100,May to June
Plot E,0-1,Plot E 0-1,1,May,June,Orbicella sp.,2,2,0,100,15.811388300841905,100,May to June
Plot E,0-1,Plot E 0-1,1,May,June,Unidentified coral,1,1,0,100,2.500000000000002,100,May to June
Plot E,0-1,Plot E 0-1,2,June,July,Acropora cervicornis,4,4,0,100,39.763536438352546,100,June to July
Plot E,0-1,Plot E 0-1,2,June,July,Acropora palmata,33,25,8,75.75757575757575,57.7410682288298,88.90767004411605,June to July
Plot E,0-1,Plot E 0-1,2,June,July,Orbicella annularis,81,81,0,100,95.54797375436782,100,June to July
Plot E,0-1,Plot E 0-1,2,June,July,Orbicella sp.,2,2,0,100,15.811388300841905,100,June to July
Plot E,0-1,Plot E 0-1,3,July,August,Acropora cervicornis,4,4,0,100,39.763536438352546,100,July to August
Plot E,0-1,Plot E 0-1,3,July,August,Acropora palmata,25,21,4,84,63.91715455407279,95.46205476282904,July to August
Plot E,0-1,Plot E 0-1,3,July,August,Orbicella annularis,81,81,0,100,95.54797375436782,100,July to August
Plot E,0-1,Plot E 0-1,3,July,August,Orbicella sp.,2,2,0,100,15.811388300841905,100,July to August
Plot E,0-1,Plot E 0-1,4,August,September,Acropora cervicornis,4,4,0,100,39.763536438352546,100,August to September
Plot E,0-1,Plot E 0-1,4,August,September,Acropora palmata,22,21,1,95.45454545454545,77.15556023323666,99.88498524734264,August to September
Plot E,0-1,Plot E 0-1,4,August,September,Orbicella annularis,81,80,1,98.76543209876543,93.31243790677892,99.96874833128462,August to September
Plot E,0-1,Plot E 0-1,4,August,September,Orbicella sp.,2,2,0,100,15.811388300841905,100,August to September
Plot E,0-1,Plot E 0-1,5,September,October,Acropora cervicornis,4,4,0,100,39.763536438352546,100,September to October
Plot E,0-1,Plot E 0-1,5,September,October,Acropora palmata,21,21,0,100,83.89023847809204,100,September to October
Plot E,0-1,Plot E 0-1,5,September,October,Orbicella annularis,70,70,0,100,94.86662028489764,100,September to October
Plot E,0-1,Plot E 0-1,5,September,October,Orbicella sp.,2,2,0,100,15.811388300841905,100,September to October
Plot E,0-1,Plot E 0-1,6,October,November,Acropora cervicornis,4,4,0,100,39.763536438352546,100,October to November
Plot E,0-1,Plot E 0-1,6,October,November,Acropora palmata,21,21,0,100,83.89023847809204,100,October to November
Plot E,0-1,Plot E 0-1,6,October,November,Orbicella annularis,70,70,0,100,94.86662028489764,100,October to November
Plot E,0-1,Plot E 0-1,6,October,November,Orbicella sp.,2,2,0,100,15.811388300841905,100,October to November
Plot E,0-1,Plot E 0-1,7,November,December,Acropora cervicornis,4,4,0,100,39.763536438352546,100,November to December
Plot E,0-1,Plot E 0-1,7,November,December,Acropora palmata,21,19,2,90.47619047619048,69.62255930860758,98.82506821155542,November to December
Plot E,0-1,Plot E 0-1,7,November,December,Orbicella annularis,70,70,0,100,94.86662028489764,100,November to December
Plot E,0-1,Plot E 0-1,7,November,December,Orbicella sp.,2,2,0,100,15.811388300841905,100,November to December
Plot E,0-1,Plot E 0-1,8,December,January,Acropora cervicornis,4,4,0,100,39.763536438352546,100,December to January
Plot E,0-1,Plot E 0-1,8,December,January,Acropora palmata,18,18,0,100,81.46980318621478,100,December to January
Plot E,0-1,Plot E 0-1,8,December,January,Orbicella annularis,71,71,0,100,94.93705920455963,100,December to January
Plot E,0-1,Plot E 0-1,8,December,January,Orbicella sp.,2,0,2,0,0,84.1886116991581,December to January
Plot E,0-1,Plot E 0-1,9,January,February,Acropora cervicornis,4,2,2,50,6.7585986488543,93.2414013511457,January to February
Plot E,0-1,Plot E 0-1,9,January,February,Acropora palmata,19,19,0,100,82.35330881930348,100,January to February
Plot E,0-1,Plot E 0-1,9,January,February,Orbicella annularis,72,72,0,100,95.00559162941454,100,January to February
Plot E,0-1,Plot E 0-1,10,February,March,Acropora cervicornis,2,1,1,50,1.2579117093425058,98.74208829065749,February to March
Plot E,0-1,Plot E 0-1,10,February,March,Acropora palmata,16,6,10,37.5,15.198367508112206,64.56539056979219,February to March
Plot E,0-1,Plot E 0-1,10,February,March,Diploria labyrinthiformis,0,0,0,NA,NA,NA,February to March
Plot E,0-1,Plot E 0-1,10,February,March,Orbicella annularis,72,70,2,97.22222222222223,90.32327108865849,99.66180996738268,February to March
Plot E,0-1,Plot E 0-1,11,March,April,Acropora cervicornis,1,1,0,100,2.500000000000002,100,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Acropora palmata,6,6,0,100,54.074187356009965,100,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Diploria labyrinthiformis,1,1,0,100,2.500000000000002,100,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Montastraea cavernosa,0,0,0,NA,NA,NA,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Orbicella annularis,70,62,8,88.57142857142857,78.71719578309097,94.93478012096436,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Orbicella faveolata,0,0,0,NA,NA,NA,March to April
Plot E,0-1,Plot E 0-1,11,March,April,Pseudodiploria strigosa,0,0,0,NA,NA,NA,March to April
Plot E,0-1,Plot E 0-1,12,April,May,Acropora cervicornis,1,1,0,100,2.500000000000002,100,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Acropora palmata,6,5,1,83.33333333333333,35.87654210023252,99.57892554855106,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Diploria labyrinthiformis,1,1,0,100,2.500000000000002,100,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Montastraea cavernosa,20,20,0,100,83.15665290169146,100,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Orbicella annularis,127,122,5,96.06299212598425,91.05148521026872,98.709504489828,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Orbicella faveolata,20,20,0,100,83.15665290169146,100,April to May
Plot E,0-1,Plot E 0-1,12,April,May,Pseudodiploria strigosa,60,59,1,98.33333333333333,91.0600949942513,99.9578125547658,April to May
Plot E,1-0,Plot E 1-0,1,May,June,Acropora cervicornis,9,7,2,77.77777777777777,39.99064262836879,97.18550265221018,May to June
Plot E,1-0,Plot E 1-0,1,May,June,Acropora palmata,43,19,24,44.18604651162791,29.078117788106457,60.12461353915182,May to June
Plot E,1-0,Plot E 1-0,1,May,June,Orbicella annularis,68,65,3,95.58823529411765,87.64373756682213,99.08078047972127,May to June
Plot E,1-0,Plot E 1-0,1,May,June,Orbicella faveolata,23,23,0,100,85.18148710847757,100,May to June
Plot E,1-0,Plot E 1-0,1,May,June,Orbicella franksi,24,24,0,100,85.75264022774743,100,May to June
Plot E,1-0,Plot E 1-0,2,June,July,Acropora cervicornis,7,7,0,100,59.038360277499656,100,June to July
Plot E,1-0,Plot E 1-0,2,June,July,Acropora palmata,19,13,6,68.42105263157895,43.44984311538491,87.42393641270168,June to July
Plot E,1-0,Plot E 1-0,2,June,July,Orbicella annularis,60,55,5,91.66666666666667,81.61422166234142,97.23866896625736,June to July
Plot E,1-0,Plot E 1-0,2,June,July,Orbicella faveolata,23,23,0,100,85.18148710847757,100,June to July
Plot E,1-0,Plot E 1-0,2,June,July,Orbicella franksi,24,24,0,100,85.75264022774743,100,June to July
Plot E,1-0,Plot E 1-0,3,July,August,Acropora cervicornis,7,7,0,100,59.038360277499656,100,July to August
Plot E,1-0,Plot E 1-0,3,July,August,Acropora palmata,13,10,3,76.92307692307692,46.186846076595906,94.96189265088485,July to August
Plot E,1-0,Plot E 1-0,3,July,August,Orbicella annularis,55,55,0,100,93.51292391745754,100,July to August
Plot E,1-0,Plot E 1-0,3,July,August,Orbicella faveolata,23,23,0,100,85.18148710847757,100,July to August
Plot E,1-0,Plot E 1-0,3,July,August,Orbicella franksi,24,24,0,100,85.75264022774743,100,July to August
Plot E,1-0,Plot E 1-0,4,August,September,Acropora cervicornis,7,5,2,71.42857142857143,29.04208637373427,96.33074338239145,August to September
Plot E,1-0,Plot E 1-0,4,August,September,Acropora palmata,8,8,0,100,63.05833524471808,100,August to September
Plot E,1-0,Plot E 1-0,4,August,September,Orbicella annularis,55,48,7,87.27272727272727,75.51972796779751,94.72648170362706,August to September
Plot E,1-0,Plot E 1-0,4,August,September,Orbicella faveolata,23,23,0,100,85.18148710847757,100,August to September
Plot E,1-0,Plot E 1-0,4,August,September,Orbicella franksi,24,24,0,100,85.75264022774743,100,August to September
Plot E,1-0,Plot E 1-0,5,September,October,Acropora cervicornis,5,5,0,100,47.81762498950186,100,September to October
Plot E,1-0,Plot E 1-0,5,September,October,Acropora palmata,8,8,0,100,63.05833524471808,100,September to October
Plot E,1-0,Plot E 1-0,5,September,October,Orbicella annularis,50,49,1,98,89.35304542885001,99.94937720169592,September to October
Plot E,1-0,Plot E 1-0,5,September,October,Orbicella faveolata,23,23,0,100,85.18148710847757,100,September to October
Plot E,1-0,Plot E 1-0,5,September,October,Orbicella franksi,24,24,0,100,85.75264022774743,100,September to October
Plot E,1-0,Plot E 1-0,6,October,November,Acropora cervicornis,5,5,0,100,47.81762498950186,100,October to November
Plot E,1-0,Plot E 1-0,6,October,November,Acropora palmata,8,8,0,100,63.05833524471808,100,October to November
Plot E,1-0,Plot E 1-0,6,October,November,Orbicella annularis,49,49,0,100,92.74807363357226,100,October to November
Plot E,1-0,Plot E 1-0,6,October,November,Orbicella faveolata,23,23,0,100,85.18148710847757,100,October to November
Plot E,1-0,Plot E 1-0,6,October,November,Orbicella franksi,24,24,0,100,85.75264022774743,100,October to November
Plot E,1-0,Plot E 1-0,7,November,December,Acropora cervicornis,5,5,0,100,47.81762498950186,100,November to December
Plot E,1-0,Plot E 1-0,7,November,December,Acropora palmata,8,8,0,100,63.05833524471808,100,November to December
Plot E,1-0,Plot E 1-0,7,November,December,Orbicella annularis,51,45,6,88.23529411764706,76.13239527359255,95.55798581436852,November to December
Plot E,1-0,Plot E 1-0,7,November,December,Orbicella faveolata,23,23,0,100,85.18148710847757,100,November to December
Plot E,1-0,Plot E 1-0,7,November,December,Orbicella franksi,24,24,0,100,85.75264022774743,100,November to December
Plot E,1-0,Plot E 1-0,8,December,January,Acropora cervicornis,5,5,0,100,47.81762498950186,100,December to January
Plot E,1-0,Plot E 1-0,8,December,January,Acropora palmata,8,8,0,100,63.05833524471808,100,December to January
Plot E,1-0,Plot E 1-0,8,December,January,Orbicella annularis,45,45,0,100,92.12948995931569,100,December to January
Plot E,1-0,Plot E 1-0,8,December,January,Orbicella faveolata,23,23,0,100,85.18148710847757,100,December to January
Plot E,1-0,Plot E 1-0,8,December,January,Orbicella franksi,24,24,0,100,85.75264022774743,100,December to January
Plot E,1-1,Plot E 1-1,1,May,June,Acropora palmata,12,6,6,50,21.094463823929672,78.90553617607033,May to June
Plot E,1-1,Plot E 1-1,1,May,June,Orbicella annularis,25,25,0,100,86.28148284692875,100,May to June
Plot E,1-1,Plot E 1-1,1,May,June,Orbicella faveolata,3,3,0,100,29.240177382128667,100,May to June
Plot E,1-1,Plot E 1-1,1,May,June,Orbicella franksi,18,18,0,100,81.46980318621478,100,May to June
Plot E,1-1,Plot E 1-1,2,June,July,Acropora palmata,6,6,0,100,54.074187356009965,100,June to July
Plot E,1-1,Plot E 1-1,2,June,July,Orbicella annularis,25,24,1,96,79.6483086077586,99.8987800300689,June to July
Plot E,1-1,Plot E 1-1,2,June,July,Orbicella faveolata,3,3,0,100,29.240177382128667,100,June to July
Plot E,1-1,Plot E 1-1,2,June,July,Orbicella franksi,18,18,0,100,81.46980318621478,100,June to July
Plot E,1-1,Plot E 1-1,3,July,August,Acropora palmata,6,6,0,100,54.074187356009965,100,July to August
Plot E,1-1,Plot E 1-1,3,July,August,Orbicella annularis,24,23,1,95.83333333333333,78.87983165430269,99.89456475545303,July to August
Plot E,1-1,Plot E 1-1,3,July,August,Orbicella faveolata,3,3,0,100,29.240177382128667,100,July to August
Plot E,1-1,Plot E 1-1,3,July,August,Orbicella franksi,18,18,0,100,81.46980318621478,100,July to August
Plot E,1-1,Plot E 1-1,3,July,August,Orbicella sp.,0,0,0,NA,NA,NA,July to August
Plot E,1-1,Plot E 1-1,4,August,September,Acropora palmata,6,6,0,100,54.074187356009965,100,August to September
Plot E,1-1,Plot E 1-1,4,August,September,Orbicella annularis,23,23,0,100,85.18148710847757,100,August to September
Plot E,1-1,Plot E 1-1,4,August,September,Orbicella faveolata,3,3,0,100,29.240177382128667,100,August to September
Plot E,1-1,Plot E 1-1,4,August,September,Orbicella franksi,18,18,0,100,81.46980318621478,100,August to September
Plot E,1-1,Plot E 1-1,4,August,September,Orbicella sp.,2,2,0,100,15.811388300841905,100,August to September
Plot E,1-1,Plot E 1-1,5,September,October,Acropora palmata,6,6,0,100,54.074187356009965,100,September to October
Plot E,1-1,Plot E 1-1,5,September,October,Orbicella annularis,23,23,0,100,85.18148710847757,100,September to October
Plot E,1-1,Plot E 1-1,5,September,October,Orbicella faveolata,3,3,0,100,29.240177382128667,100,September to October
Plot E,1-1,Plot E 1-1,5,September,October,Orbicella franksi,18,18,0,100,81.46980318621478,100,September to October
