plot,plot_section,plot_section_label,month_order,month,survey_date,n_surviving_from_baseline,n_died_interval,baseline_surviving_area_m2,cumulative_deaths_observed,baseline_month,baseline_date,n_baseline,percent_cumulative_survival,percent_cumulative_survival_low,percent_cumulative_survival_high
Plot E,0-0,Plot E 0-0,4,August,2025-08-04,86,3,0.15220074999999994,12,May,2025-05-07,98,87.75510204081633,79.58731256814478,93.50995107292826
Plot E,0-0,Plot E 0-0,5,September,2025-09-08,83,3,0.15845850000000006,15,May,2025-05-07,98,84.6938775510204,76.01435376197585,91.17257413794707
Plot E,0-0,Plot E 0-0,6,October,2025-10-14,82,1,0.16246225000000009,16,May,2025-05-07,98,83.6734693877551,74.84495670003591,90.37013458338238
Plot E,0-0,Plot E 0-0,7,November,2025-11-06,80,2,0.15080224999999997,18,May,2025-05-07,98,81.63265306122449,72.53394977807594,88.73558875595849
Plot E,0-0,Plot E 0-0,8,December,2025-12-04,72,8,0.16213324999999998,26,May,2025-05-07,98,73.46938775510205,63.590442424797445,81.88093767376652
Plot E,0-0,Plot E 0-0,9,January,2026-01-20,66,6,0.16146500000000008,32,May,2025-05-07,98,67.34693877551021,57.13244890269596,76.48099944889147
Plot E,0-0,Plot E 0-0,10,February,2026-02-16,62,4,0.16016149999999998,36,May,2025-05-07,98,63.265306122448976,52.925234534481135,72.7805712678554
Plot E,0-0,Plot E 0-0,11,March,2026-03-25,56,6,0.166816,42,May,2025-05-07,98,57.142857142857146,46.746713870043855,67.09557335089454
Plot E,0-0,Plot E 0-0,12,April,2026-04-09,53,3,0.1637845,45,May,2025-05-07,98,54.08163265306123,43.71379780102968,64.19618538906005
Plot E,0-0,Plot E 0-0,13,May,2026-05-04,50,3,0.15695325000000002,48,May,2025-05-07,98,51.02040816326531,40.71736340909821,61.260144122172775
Plot E,0-1,Plot E 0-1,1,May,2025-05-07,120,0,0.20782899999999993,0,May,2025-05-07,120,100,96.972702742258,100
Plot E,0-1,Plot E 0-1,2,June,2025-06-09,120,0,0.22119674999999991,0,May,2025-05-07,120,100,96.972702742258,100
Plot E,0-1,Plot E 0-1,3,July,2025-07-11,112,8,0.21739425000000007,8,May,2025-05-07,120,93.33333333333333,87.28632517607872,97.07808156862036
Plot E,0-1,Plot E 0-1,4,August,2025-08-04,108,4,0.22970325,12,May,2025-05-07,120,90,83.18347872973342,94.72522136099401
Plot E,0-1,Plot E 0-1,5,September,2025-09-08,106,2,0.24963525,14,May,2025-05-07,120,88.33333333333333,81.20049096131918,93.47278494900571
Plot E,0-1,Plot E 0-1,6,October,2025-10-14,96,10,0.24933075,24,May,2025-05-07,120,80,71.719010910206,86.74524324552813
Plot E,0-1,Plot E 0-1,7,November,2025-11-06,96,0,0.24520675000000003,24,May,2025-05-07,120,80,71.719010910206,86.74524324552813
Plot E,0-1,Plot E 0-1,8,December,2025-12-04,94,2,0.2616762499999999,26,May,2025-05-07,120,78.33333333333333,69.88714869343303,85.3318505707898
Plot E,0-1,Plot E 0-1,9,January,2026-01-20,92,2,0.26179325,28,May,2025-05-07,120,76.66666666666667,68.07225107199397,83.90083119035371
Plot E,0-1,Plot E 0-1,10,February,2026-02-16,90,2,0.25480800000000003,30,May,2025-05-07,120,75,66.27307837080039,82.45353809699434
Plot E,0-1,Plot E 0-1,11,March,2026-03-25,76,14,0.23969000000000001,44,May,2025-05-07,120,63.333333333333336,54.05001010775285,71.94175923349626
Plot E,0-1,Plot E 0-1,12,April,2026-04-09,68,8,0.23189749999999995,52,May,2025-05-07,120,56.666666666666664,47.31335432342381,65.68305082938855
Plot E,0-1,Plot E 0-1,13,May,2026-05-04,67,1,0.22229475000000004,53,May,2025-05-07,120,55.833333333333336,46.48269963164077,64.88918893958285
Plot E,1-0,Plot E 1-0,1,May,2025-05-07,167,0,0.21771275000000007,0,May,2025-05-07,167,100,97.81530791693882,100
Plot E,1-0,Plot E 1-0,2,June,2025-06-09,138,29,0.18981399999999984,29,May,2025-05-07,167,82.63473053892216,76.02220414639437,88.05102579270991
Plot E,1-0,Plot E 1-0,3,July,2025-07-11,122,16,0.17076,45,May,2025-05-07,167,73.05389221556887,65.65327253807158,79.61689954126186
Plot E,1-0,Plot E 1-0,4,August,2025-08-04,119,3,0.16880099999999998,48,May,2025-05-07,167,71.25748502994011,63.757318899247025,77.98609898002913
Plot E,1-0,Plot E 1-0,5,September,2025-09-08,108,11,0.16947950000000003,59,May,2025-05-07,167,64.67065868263474,56.91101385130598,71.89928023089458
Plot E,1-0,Plot E 1-0,6,October,2025-10-14,107,1,0.17170700000000003,60,May,2025-05-07,167,64.07185628742515,56.29625600523545,71.33820102125767
Plot E,1-0,Plot E 1-0,7,November,2025-11-06,107,0,0.16448349999999992,60,May,2025-05-07,167,64.07185628742515,56.29625600523545,71.33820102125767
Plot E,1-0,Plot E 1-0,8,December,2025-12-04,101,6,0.16748175000000004,66,May,2025-05-07,167,60.47904191616767,52.632609217058814,67.94658631881066
Plot E,1-0,Plot E 1-0,9,January,2026-01-20,101,0,0.16102974999999994,66,May,2025-05-07,167,60.47904191616767,52.632609217058814,67.94658631881066
Plot E,1-1,Plot E 1-1,1,May,2025-05-07,58,0,0.06208225,0,May,2025-05-07,58,100,93.83789910960802,100
Plot E,1-1,Plot E 1-1,2,June,2025-06-09,52,6,0.05517650000000001,6,May,2025-05-07,58,89.65517241379311,78.83135422012025,96.10791680776357
Plot E,1-1,Plot E 1-1,3,July,2025-07-11,51,1,0.055186,7,May,2025-05-07,58,87.93103448275862,76.70163622920064,95.00733839765194
Plot E,1-1,Plot E 1-1,4,August,2025-08-04,50,1,0.06530849999999999,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot E,1-1,Plot E 1-1,5,September,2025-09-08,50,0,0.07075725000000002,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot E,1-1,Plot E 1-1,6,October,2025-10-14,50,0,0.07133874999999998,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot E,1-1,Plot E 1-1,7,November,2025-11-06,50,0,0.07384025,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot E,1-1,Plot E 1-1,8,December,2025-12-04,50,0,0.0745835,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot E,1-1,Plot E 1-1,9,January,2026-01-20,50,0,0.07367199999999999,8,May,2025-05-07,58,86.20689655172414,74.61902447235218,93.85203370342646
Plot G,0-0,Plot G 0-0,2,April,2026-04-24,21,0,0.028341500000000002,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,0-0,Plot G 0-0,3,May,2026-05-26,21,0,0.028127500000000003,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,0-0,Plot G 0-0,4,August,2026-08-13,21,0,0.030981,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,0-1,Plot G 0-1,2,April,2026-04-24,3,0,0.00427125,0,April,2026-04-24,3,100,29.240177382128667,100
Plot G,0-1,Plot G 0-1,3,May,2026-05-26,3,0,0.0041895000000000005,0,April,2026-04-24,3,100,29.240177382128667,100
Plot G,0-1,Plot G 0-1,4,August,2026-08-13,3,0,0.005518250000000001,0,April,2026-04-24,3,100,29.240177382128667,100
Plot G,1-0,Plot G 1-0,2,April,2026-04-24,21,0,0.026392249999999996,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,1-0,Plot G 1-0,3,May,2026-05-26,21,0,0.026936250000000002,0,April,2026-04-24,21,100,83.89023847809204,100
Plot G,1-0,Plot G 1-0,4,August,2026-08-13,20,1,0.026113249999999998,1,April,2026-04-24,21,95.23809523809524,76.1840090063179,99.87951165516364
Plot H,0-0,Plot H 0-0,2,April,2026-04-24,8,0,0.01040525,0,April,2026-04-24,8,100,63.05833524471808,100
Plot H,0-0,Plot H 0-0,3,May,2026-05-25,8,0,0.010739750000000001,0,April,2026-04-24,8,100,63.05833524471808,100
Plot H,0-0,Plot H 0-0,4,August,2026-08-13,8,0,0.0105965,0,April,2026-04-24,8,100,63.05833524471808,100
Plot H,0-1,Plot H 0-1,2,April,2026-04-24,3,0,0.0059355,0,April,2026-04-24,3,100,29.240177382128667,100
Plot H,0-1,Plot H 0-1,3,May,2026-05-25,3,0,0.006137,0,April,2026-04-24,3,100,29.240177382128667,100
Plot H,0-1,Plot H 0-1,4,August,2026-08-13,3,0,0.00654125,0,April,2026-04-24,3,100,29.240177382128667,100
Plot H,1-0,Plot H 1-0,2,April,2026-04-24,27,0,0.032923749999999995,0,April,2026-04-24,27,100,87.22971323845677,100
Plot H,1-0,Plot H 1-0,3,May,2026-05-25,27,0,0.03566375,0,April,2026-04-24,27,100,87.22971323845677,100
Plot H,1-0,Plot H 1-0,4,August,2026-08-13,25,2,0.03052,2,April,2026-04-24,27,92.5925925925926,75.71016531543728,99.08999270576938
