plot,month_order,month,survey_date,n_plot_sections,plot_section_labels,plot_section,plot_section_label,baseline_month,baseline_date,n_baseline,n_died_interval,cumulative_deaths_observed,n_surviving_from_baseline,baseline_surviving_area_m2,expected_plot_sections,expected_plot_section_labels,percent_cumulative_survival,percent_cumulative_survival_low,percent_cumulative_survival_high
Plot D,3,June,2026-06-08,3,Plot D 0-0; Plot D 0-1; Plot D 1-0,all,Plot D,April,2026-04-16,315,33,33,282,0.21337374999999997,3,Plot D 0-0; Plot D 0-1; Plot D 1-0,89.52380952380952,85.60277402667134,92.67823380545272
Plot E,1,May,2025-05-07,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,0,0,443,0.6261055,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,100,99.17075321219161,100
Plot E,2,June,2025-06-09,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,39,39,404,0.6147449999999998,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,91.19638826185101,88.16171169361375,93.6649026394098
Plot E,3,July,2025-07-11,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,30,69,374,0.59639375,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,84.42437923250564,80.70633394272016,87.67459907257748
Plot E,4,August,2025-08-04,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,11,80,363,0.6160134999999999,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,81.941309255079,78.03669091064415,85.41285821950484
Plot E,5,September,2025-09-08,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,16,96,347,0.6483305,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,78.3295711060948,74.1971340943746,82.07888908061226
Plot E,6,October,2025-10-14,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,12,108,335,0.6548387500000001,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,75.62076749435666,71.34616430436053,79.54939132463541
Plot E,7,November,2025-11-06,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,2,110,333,0.63433275,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,75.16930022573364,70.87314577377968,79.12564470900523
Plot E,8,December,2025-12-04,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,16,126,317,0.6658747499999998,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,71.55756207674943,67.10913426781146,75.71536856906806
Plot E,9,January,2026-01-20,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,all,Plot E,May,2025-05-07,443,8,134,309,0.65796,4,Plot E 0-0; Plot E 0-1; Plot E 1-0; Plot E 1-1,69.75169300225734,65.23967208994353,73.99759570345846
Plot G,2,April,2026-04-24,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,all,Plot G,April,2026-04-24,45,0,0,45,0.059005,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,100,92.12948995931569,100
Plot G,3,May,2026-05-26,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,all,Plot G,April,2026-04-24,45,0,0,45,0.05925325000000001,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,100,92.12948995931569,100
Plot G,4,August,2026-08-13,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,all,Plot G,April,2026-04-24,45,1,1,44,0.0626125,3,Plot G 0-0; Plot G 0-1; Plot G 1-0,97.77777777777777,88.22956685817059,99.94375402845978
Plot H,2,April,2026-04-24,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,all,Plot H,April,2026-04-24,38,0,0,38,0.049264499999999996,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,100,90.74872385841218,100
Plot H,3,May,2026-05-25,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,all,Plot H,April,2026-04-24,38,0,0,38,0.052540500000000004,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,100,90.74872385841218,100
Plot H,4,August,2026-08-13,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,all,Plot H,April,2026-04-24,38,2,2,36,0.04765775,3,Plot H 0-0; Plot H 0-1; Plot H 1-0,94.73684210526316,82.25094096523591,99.35612832849081
